name,description,category,meeting_time,location,image_url
American Sign Language,Learn basic words and phrases to communicate in sign language. Each week features themed activities with snacks. Members can interact with Berkeley's deaf community staff. Earns 5 Global Scholars points through International Sign incorporation.,service,Mondays,G113,/placeholder.svg?key=asl
Art Club,A welcoming space for students in grades 9-12 to experiment and build community outside of art classes. Student-led meetings with interactive projects and occasional community service opportunities. Open studio hours available.,arts,Wednesdays during Lunch,G118,/placeholder.svg?key=art
Beekeeping Club,Learn about honey bees and their environmental role while maintaining hives on campus. Includes after-school and Saturday commitments. Permission waiver required; students with bee allergies cannot participate.,hobby,Thursday Lunch (Day 1 or 4),G118 and CERES,/placeholder.svg?key=beekeeping
Berkeley Broadcast Network,"Student-run club that live streams sports, arts, and campus events for Berkeley fans to watch online. Share activities happening on and around campus with the Berkeley community.",technology,Mondays Lunch,G116 Digital Lab,/placeholder.svg?key=broadcast
Berkeley Pharm-Aware Club,"Educate students about drug science, effects on the human body, and substance interactions through lectures, discussions, and expert speakers. Learn about pharmacology, drug safety, and societal implications.",academic,"Thursdays, 12:45 PM (Bi-weekly)",G225,/placeholder.svg?key=pharma
Berkeley Red Cross Club,"Extension of the Red Cross with access to their resources, training, and service opportunities. Educate the community about disaster relief, first aid, and humanitarian issues through local service and virtual training.",service,Thursdays during lunch,G217,/placeholder.svg?key=redcross
Buccaneer Yearbook,Create the permanent record of Berkeley Preparatory School as a memory book and history publication. Student-planned publication capturing lives and experiences of students and faculty throughout the year.,arts,"Monday/Wednesday after school, Tuesday lunch, 1 Saturday/month",Yearbook Room / U252,/placeholder.svg?key=yearbook
Chat and Chew,"Fellowship group for students who identify as Black or African American. Cultivate relationships, celebrate the Black American experience, and share challenges in identity development through dialogues and activities.",service,"Wednesdays, 12:45 PM",Doster Study Hall (G201),/placeholder.svg?key=chatchew
Chess Club,Learn and enhance abilities in chess with students from all skill levels. Experienced players share tricks and insights. Hosts tournaments for the Berkeley community to increase interest in this strategic board game.,hobby,Wednesdays at lunch,G209,/placeholder.svg?key=chess
Chinese Club,"Explore Chinese Language and Culture through movies, popular topics, games, sports, and cultural festivals. Events include Ping Pong Tournament, Chinese Movie Night, and Chinese New Year Celebration.",hobby,Tuesdays,S206,/placeholder.svg?key=chinese
Community Service Council,"Help students make a positive difference through meaningful service work. Create and manage UD service projects, serve as student voice for service policies, and advise about opportunities.",service,Every other Tuesday during lunch,Doster,/placeholder.svg?key=service
Computer Science Club,"Explore computer science through CodingBat challenges, Hour of Code, game development projects, guest speakers, and competitions like UF High School Programming Contest and Hackathons.",technology,"Thursdays, 12:45 PM",U135,/placeholder.svg?key=coding
Cooking Club,"Learn to create and execute dishes, share recipes and cooking tips. Meet bi-weekly to practice cooking with food made by students. Work from basic steps up to different dishes for various occasions.",hobby,Every other Tuesday,S215,/placeholder.svg?key=cooking
Cultural Appreciation Club,"Increase global awareness by examining cultural traditions worldwide. Emphasize art, traditions, language, food, religion, and history. Help plan Berkeley's annual Culture Fest in Spring.",service,"Every other Friday, 12:45-1:20 PM",U250,/placeholder.svg?key=culture
